dteday,weathersit,season,weekday,casual,registered,cnt
2011-01-01,Misty,Spring,Saturday,331,654,985
2011-01-02,Misty,Spring,Sunday,131,670,801
2011-01-03,Clear,Spring,Monday,120,1229,1349
2011-01-04,Clear,Spring,Tuesday,108,1454,1562
2011-01-05,Clear,Spring,Wednesday,82,1518,1600
2011-01-06,Clear,Spring,Thursday,88,1518,1606
2011-01-07,Misty,Spring,Friday,148,1362,1510
2011-01-08,Misty,Spring,Saturday,68,891,959
2011-01-09,Clear,Spring,Sunday,54,768,822
2011-01-10,Clear,Spring,Monday,41,1280,1321
2011-01-11,Misty,Spring,Tuesday,43,1220,1263
2011-01-12,Clear,Spring,Wednesday,25,1137,1162
2011-01-13,Clear,Spring,Thursday,38,1368,1406
2011-01-14,Clear,Spring,Friday,54,1367,1421
2011-01-15,Misty,Spring,Saturday,222,1026,1248
2011-01-16,Clear,Spring,Sunday,251,953,1204
2011-01-17,Misty,Spring,Monday,117,883,1000
2011-01-18,Misty,Spring,Tuesday,9,674,683
2011-01-19,Misty,Spring,Wednesday,78,1572,1650
2011-01-20,Misty,Spring,Thursday,83,1844,1927
2011-01-21,Clear,Spring,Friday,75,1468,1543
2011-01-22,Clear,Spring,Saturday,93,888,981
2011-01-23,Clear,Spring,Sunday,150,836,986
2011-01-24,Clear,Spring,Monday,86,1330,1416
2011-01-25,Misty,Spring,Tuesday,186,1799,1985
2011-01-26,Light Rainsnow,Spring,Wednesday,34,472,506
2011-01-27,Clear,Spring,Thursday,15,416,431
2011-01-28,Misty,Spring,Friday,38,1129,1167
2011-01-29,Clear,Spring,Saturday,123,975,1098
2011-01-30,Clear,Spring,Sunday,140,956,1096
2011-01-31,Misty,Spring,Monday,42,1459,1501
2011-02-01,Misty,Spring,Tuesday,47,1313,1360
2011-02-02,Misty,Spring,Wednesday,72,1454,1526
2011-02-03,Clear,Spring,Thursday,61,1489,1550
2011-02-04,Misty,Spring,Friday,88,1620,1708
2011-02-05,Misty,Spring,Saturday,100,905,1005
2011-02-06,Clear,Spring,Sunday,354,1269,1623
2011-02-07,Clear,Spring,Monday,120,1592,1712
2011-02-08,Clear,Spring,Tuesday,64,1466,1530
2011-02-09,Misty,Spring,Wednesday,53,1552,1605
2011-02-10,Clear,Spring,Thursday,47,1491,1538
2011-02-11,Clear,Spring,Friday,149,1597,1746
2011-02-12,Clear,Spring,Saturday,288,1184,1472
2011-02-13,Clear,Spring,Sunday,397,1192,1589
2011-02-14,Clear,Spring,Monday,208,1705,1913
2011-02-15,Clear,Spring,Tuesday,140,1675,1815
2011-02-16,Clear,Spring,Wednesday,218,1897,2115
2011-02-17,Clear,Spring,Thursday,259,2216,2475
2011-02-18,Clear,Spring,Friday,579,2348,2927
2011-02-19,Clear,Spring,Saturday,532,1103,1635
2011-02-20,Clear,Spring,Sunday,639,1173,1812
2011-02-21,Misty,Spring,Monday,195,912,1107
2011-02-22,Clear,Spring,Tuesday,74,1376,1450
2011-02-23,Clear,Spring,Wednesday,139,1778,1917
2011-02-24,Misty,Spring,Thursday,100,1707,1807
2011-02-25,Misty,Spring,Friday,120,1341,1461
2011-02-26,Clear,Spring,Saturday,424,1545,1969
2011-02-27,Clear,Spring,Sunday,694,1708,2402
2011-02-28,Misty,Spring,Monday,81,1365,1446
2011-03-01,Clear,Spring,Tuesday,137,1714,1851
2011-03-02,Clear,Spring,Wednesday,231,1903,2134
2011-03-03,Clear,Spring,Thursday,123,1562,1685
2011-03-04,Misty,Spring,Friday,214,1730,1944
2011-03-05,Misty,Spring,Saturday,640,1437,2077
2011-03-06,Misty,Spring,Sunday,114,491,605
2011-03-07,Clear,Spring,Monday,244,1628,1872
2011-03-08,Clear,Spring,Tuesday,316,1817,2133
2011-03-09,Misty,Spring,Wednesday,191,1700,1891
2011-03-10,Light Rainsnow,Spring,Thursday,46,577,623
2011-03-11,Misty,Spring,Friday,247,1730,1977
2011-03-12,Clear,Spring,Saturday,724,1408,2132
2011-03-13,Clear,Spring,Sunday,982,1435,2417
2011-03-14,Clear,Spring,Monday,359,1687,2046
2011-03-15,Misty,Spring,Tuesday,289,1767,2056
2011-03-16,Misty,Spring,Wednesday,321,1871,2192
2011-03-17,Clear,Spring,Thursday,424,2320,2744
2011-03-18,Clear,Spring,Friday,884,2355,3239
2011-03-19,Clear,Spring,Saturday,1424,1693,3117
2011-03-20,Clear,Spring,Sunday,1047,1424,2471
2011-03-21,Misty,Summer,Monday,401,1676,2077
2011-03-22,Clear,Summer,Tuesday,460,2243,2703
